ID,Section,Label,Country,Year,Value,Flag,Breakdown,,
ECEC1,ECEC,Shares of children in formal ECEC ,Hungary,2018,84.6,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Malta,2018,88.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Netherlands,2018,89.9,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Austria,2018,84.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Poland,2018,74.9,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Portugal,2018,95.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Romania,2018,78.6,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Slovenia,2018,93.2,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Slovakia,2018,81.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Finland,2018,82.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Sweden,2018,96.2,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,EU27,2019,91,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Belgium,2019,99.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Bulgaria,2019,85.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Czechia,2019,79.4,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Denmark,2019,93.2,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Germany,2019,89.9,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Estonia,2019,95.3,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Ireland,2019,89.5,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Greece,2019,94.1,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Spain,2019,98.2,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,France,2019,96.7,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Croatia,2019,64.8,,Children aged 3 up to compulsory school age,,
ECEC1,ECEC,Shares of children in formal ECEC ,Italy,2019,94.9,,Children aged 3 up to compulsory school age,,
