Survey,Question Number,Variable,Question,Short
EWCSR3,Q.16d,q16d_n,And how many times a month do you work on Saturdays?,Saturday work
EWCSR3,Q.16e,q16e_n,And how many times a month do you work more than 10 hours a day?,Work more than 10 hours a day
EWCSR3,Q.17a,q17a_n,Do you work part-time?,Do you work part-time?
EWCSR3,Q.17b,q17b_n,"Would you like to work: More hours, Less hours, or The same number of hours?",Would you like to work more or fewer hours?
EWCSR3,Q.18a.1,q16a_a,Do you work: The same number of hours every day?,Same number of hours every day
EWCSR3,Q.18a.2,q16a_b,Do you work: The same number of days every week?,Same number of days every week
EWCSR3,Q.18a.3,q16a_c,Do you work: Fixed starting and finishing times?,Fixed starting and finishing times
EWCSR3,Q.18a.4,q16a_d,Do you work: In the daytime?,Work during the daytime
EWCSR3,Q.18b,q16a_e,Do you work shifts?,Do you work shifts?
EWCSR3,Q.18c,q16a_f,"Do you work: Split shifts, Permanent night/afternoon/morning, Alternating shifts, or Other?",Type of shifts
EWCSR3,Q.19a,q19a_n,"Usually, how many times a month do your scheduled working times change?",How often do working times change?
EWCSR3,Q.19b,q19b_n,"Usually, how many days in advance do you know of a change?",How many days notice of changes?
EWCSR3,Q.20,q20_n,"In general, do your working hours fit in with your family or social commitments outside work very well, fairly well, not very well or not at all well?",Do your working hours fit family life?
EWCSR3,Q.21a,q21a_n,"Please tell me, does your job involve short repetitive tasks of less than: 5 seconds / 30 seconds / 1 minute / 5 minutes / 10 minutes?",Short repetitive tasks
EWCSR3,Q.21b.1,q20b_a,Does your job involve: Working at very high speed?,Working at very high speed
EWCSR3,Q.21b.2,q20b_b,Does your job involve: Working to tight deadlines?,Working to tight deadlines
EWCSR3,Q.22.1,q21a,"Is your pace of work dependent, or not, on: The work done by colleagues?",Pace dependent on colleagues
EWCSR3,Q.22.2,q21b,"Is your pace of work dependent, or not, on: Direct demands from people such as customers, passengers, pupils, patients, etc.?",Pace dependent on customers
EWCSR3,Q.22.3,q21c,"Is your pace of work dependent, or not, on: Numerical production targets?",Pace dependent on targets
EWCSR3,Q.22.4,q21d,"Is your pace of work dependent, or not, on: Automatic speed of a machine or movement of a product?",Pace dependent on machine speed
EWCSR3,Q.22.5,q21e,"Is your pace of work dependent, or not, on: The direct control of your boss?",Pace dependent on boss
EWCSR3,Q.23a,q22a,How often do you have to interrupt a task you are doing in order to take on an unforeseen task?,Interrupting tasks
EWCSR3,Q.23b,q22b,"Are these interruptions mainly due to: Nature of work, bad organisation, requests from colleagues/superiors/external, machines, bad design, etc.?",Causes of interruptions
EWCSR3,Q.23c,q22c,"For your work, are these interruptions: disruptive, without consequences, positive?",Are these interruptions disruptive?
EWCSR3,Q.24.1,q23a,"Generally, does your main paid job involve: Meeting precise quality standards?",Meeting precise quality standards
EWCSR3,Q.24.2,q23b,"Generally, does your main paid job involve: Assessing yourself the quality of your own work?",Assessing quality of own work
EWCSR3,Q.24.3,q23c,"Generally, does your main paid job involve: Solving unforeseen problems on your own?",Solving unforeseen problems on your own
EWCSR3,Q.24.4,q23d,"Generally, does your main paid job involve: Monotonous tasks?",Monotonous tasks
EWCSR3,Q.24.5,q23e,"Generally, does your main paid job involve: Complex tasks?",Complex tasks
EWCSR3,Q.24.6,q23f,"Generally, does your main paid job involve: Learning new things?",Learning new things
EWCSR3,Q.25,q24,"Are you able, or not, to choose or change: Your order of tasks / Your methods of work / Your speed or rate of work?",Control over tasks and methods
EWCSR3,Q.26.1,q25a,"For each of the following statements, please answer yes or no: You can get assistance from colleagues if you ask for it?",Get assistance from colleagues
EWCSR3,Q.26.2,q25b,"For each of the following statements, please answer yes or no: You can take your break when you wish?",Take breaks when you wish
EWCSR3,Q.26.3,q25c,"For each of the following statements, please answer yes or no: You are free to decide when to take holidays or days off?",Take holidays when you want
EWCSR3,Q.26.4,q25d,"For each of the following statements, please answer yes or no: You can influence your working hours?",Influence working hours
